OA11CD,Target,AGE,S1,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,AcornTypeCode,Q3_Full-Time Student,Q3_Registered Unemployed (Job Seeker's Allowance),Q3_Retired,Q3_Unemployed due to ill health,"Q3_Unemployed, Not Registered-Seeking Work",Q3_Working - Full Time (30+ HRS),Q3_Working - Part Time (8 - 29 HRS),Q4_(Refused),Q4_Any - Other White background (type in),Q4_Asian or Asian British - Any other Asian Background (type in),Q4_Asian or Asian British - Bangladeshi,Q4_Asian or Asian British - Chinese ,Q4_Asian or Asian British - Indian,Q4_Asian or Asian British - Pakistani,Q4_Black or Black British -  Caribbean,Q4_Black or Black British - African ,Q4_Black or Black British - Any other black background (type in),Q4_Mixed - White and Black - African,Q4_Mixed - White and Black - Caribbean,Q4_Other Ethnic groups - Any other background (type in),Q4_Other Ethnic groups - Arab,Q4_White - Eastern European  (type in),Q4_White - Irish,Q4_White - Western European,Number of Council Services accessed,Information about public services,Q12 Online,Q12 Offline,Usefulness of offline publication,Q22_Live Here Rent Free,Q22_Owns Outright,Q22_Owns With A Mortgage Or Loan,Q22_Part Owns And Part Rents (shared Ownership),Q22_Rents (With Or Without Housing Benefit),Q22_Rents A Room In A Shared Property,Financial Worry
E00023413,0.0,40.25,0.25,2.75,2.75,2.3333333333333335,2.75,1.0,1.75,2.25,2.0,2.0,1.5,1.0,2.75,2.25,2.3333333333333335,0.0,0.0,3.0,9.0,8.75,8.5,5.75,1.0,1.0,1.0,0.75,0.5,6.5,13.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,1.4000000000000001,0.5,0.75,3.6666666666666665,0.25,0.25,0.0,0.0,0.5,0.0,0.0
E00023415,0.0,43.25,0.25,4.0,3.75,4.5,4.75,4.0,4.5,4.0,4.0,3.5,3.75,1.0,3.75,2.5,2.75,0.0,0.0,2.75,9.0,9.0,8.75,5.5,1.5,1.5,1.5,1.0,1.0,7.5,12.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,1.25,1.25,0.75,1.0,0.0,0.0,0.25,0.0,0.75,0.0,0.5
E00023419,0.0,45.0,0.5,1.5,3.5,1.0,3.5,1.5,2.5,5.0,3.0,4.0,2.0,1.0,4.0,1.5,2.5,0.5,0.0,3.0,8.0,8.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.0,4.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
E00023422,0.0,42.833333333333336,0.5,2.5,2.5,2.6,3.0,2.1666666666666665,2.5,2.3333333333333335,2.1666666666666665,2.5,2.0,2.1666666666666665,3.1666666666666665,2.1666666666666665,3.1666666666666665,0.3333333333333333,0.0,3.0,8.833333333333334,8.833333333333334,8.333333333333334,1.6666666666666667,1.1666666666666667,1.0,1.0,1.0,1.0,8.833333333333334,16.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,1.5,0.3333333333333333,2.5,1.9444444444444444,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
E00023423,0.0,40.57142857142857,0.5714285714285714,4.0,4.142857142857143,4.0,4.0,3.4285714285714284,3.7142857142857144,3.7142857142857144,3.7142857142857144,3.4285714285714284,4.142857142857143,1.2857142857142858,3.5714285714285716,2.4285714285714284,2.142857142857143,0.2857142857142857,0.0,2.857142857142857,9.428571428571429,8.428571428571429,8.428571428571429,5.571428571428571,1.2857142857142858,1.1428571428571428,1.2857142857142858,1.0,0.7142857142857143,7.428571428571429,15.285714285714286,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,1.4285714285714286,1.4285714285714286,0.7142857142857143,1.2,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.42857142857142855
E00023425,0.0,22.0,1.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,3.0,9.0,9.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E00023429,0.0,38.5,0.75,4.75,4.25,5.0,4.25,4.0,4.75,4.75,1.75,2.0,4.25,1.25,3.25,2.5,2.5,0.0,0.25,3.0,9.75,9.25,9.75,5.25,1.0,1.25,1.0,1.0,1.0,7.5,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,2.25,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75
E00023437,0.0,57.0,1.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,2.0,1.0,3.0,10.0,9.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E00023444,0.4,53.4,0.6,2.4,2.4,2.0,2.5,1.6,1.8,2.6,2.2,2.6,2.0,2.0,3.0,3.4,5.0,0.4,0.0,3.0,9.4,8.8,8.6,2.4,1.0,1.0,1.0,1.0,0.8,8.6,38.8,0.2,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,2.0,0.0,2.0,1.5,0.0,0.4,0.0,0.0,0.6,0.0,0.6
E00023447,0.0,56.25,0.75,4.25,4.25,4.0,4.0,1.0,3.75,4.25,3.5,4.25,3.5,1.5,3.75,2.75,1.25,0.0,0.0,2.0,8.0,8.0,7.5,7.25,1.75,1.75,2.0,1.0,1.0,8.5,44.75,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,1.8125,0.25,1.25,2.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
