,Postcode,Target,Large User,Total households,Population aged 65+,Females,Females aged 65-69,Females aged 65+,Females aged 70-74,Females aged 75-79,Females aged 80-84,Females aged 85-89,Females aged 90-94,Females aged 95_99,Females aged 100+,Males,Males aged 65-69,Males aged 65+,Males aged 70-74,Males aged 75-79,Males aged 80-84,Males aged 85-89,Males aged 90-94,Males aged 95-99,Males aged 100+,Females aged under 25,Females aged 25-44,Females aged 45-65,Males aged under 25,Males aged 25-44,Males aged 45-65,Mean Income,Median Income,Mode Income,Lower Quartile,OA11CD,Clusters
0,NW14HB,0,0.0,0.04938271604938271,0.05555555555555555,0.07407407407407407,0.0,0.075,0.08333333333333333,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.08496732026143791,0.0,0.03125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.05,0.075,0.05454545454545454,0.045454545454545456,0.0975609756097561,0.8303094983991463,0.8343653250588235,1.0,0.8071021906354441,E00023919,0
1,NW14LJ,0,0.0,0.05555555555555555,0.09722222222222222,0.09876543209876543,0.07142857142857142,0.1,0.08333333333333333,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.10457516339869281,0.0,0.09375,0.1111111111111111,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.057692307692307696,0.075,0.075,0.05454545454545454,0.056818181818181816,0.0975609756097561,0.9541088580576307,0.9758403361176471,1.0,0.9820822332474756,E00023816,2
2,NW14NR,1,0.0,0.006172839506172839,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,0.0,0.0,0.04878048780487805,0.9413020277481323,0.9663865545882352,1.0,0.9867219917831304,E00023919,3
3,NW14NT,1,0.0,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,0.0,0.011363636363636364,0.0,0.8847385272145144,0.8897058823529411,1.0,0.8421161826424992,E00023919,3
4,NW14NX,1,0.0,0.024691358024691357,0.0,0.030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032679738562091505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.0,0.022727272727272728,0.04878048780487805,0.43009605122732125,0.42041522494117645,0.20454545454545456,0.3891597510696398,E00023919,3
5,NW14NY,1,0.0,0.006172839506172839,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.8932764140875133,0.8823529411764706,1.0,0.8506224067095952,E00023919,4
6,NW14PJ,0,0.0,0.09259259259259259,0.08333333333333333,0.09876543209876543,0.07142857142857142,0.075,0.08333333333333333,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.09375,0.1111111111111111,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.07692307692307693,0.05,0.1,0.07272727272727272,0.056818181818181816,0.0975609756097561,0.7566702241195304,0.7474048442352942,1.0,0.7166738207980643,E00023816,2
7,NW14PN,0,0.0,0.037037037037037035,0.05555555555555555,0.07407407407407407,0.0,0.1,0.08333333333333333,0.0,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.0,0.0,0.032679738562091505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0375,0.075,0.01818181818181818,0.011363636363636364,0.04878048780487805,0.8847385272145144,0.9019607843529412,1.0,0.8789764869899565,E00023816,0
8,NW14PP,0,0.0,0.06172839506172839,0.05555555555555555,0.08641975308641975,0.07142857142857142,0.1,0.08333333333333333,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.026143790849673203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.0375,0.1,0.01818181818181818,0.022727272727272728,0.024390243902439025,0.8175026680896478,0.8135168961176471,1.0,0.7763862694586213,E00023816,0
9,NW14PR,0,0.0,0.1111111111111111,0.1111111111111111,0.11728395061728394,0.0,0.075,0.08333333333333333,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.1568627450980392,0.125,0.15625,0.2222222222222222,0.125,0.0,0.0,0.1111111111111111,0.0,0.0,0.1346153846153846,0.05,0.1,0.10909090909090909,0.06818181818181818,0.12195121951219512,0.8505869797225186,0.8681541582352941,1.0,0.8392807745634258,E00023816,1
10,NW14PS,0,0.0,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032679738562091505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.01818181818181818,0.03409090909090909,0.024390243902439025,0.8623265741728922,0.8692810457647059,1.0,0.8251037345083073,E00023816,3
