OBJECTID,OA11CD,LAD11CD,LAD16CD,LAD16NM,Shape__Area,Shape__Length
22724,E00023412,E09000033,E09000033,Westminster,53407.9687652588,1552.00993353557
22725,E00023413,E09000033,E09000033,Westminster,49781.9671401978,1552.62154208901
22726,E00023414,E09000033,E09000033,Westminster,3406.60369110107,244.249182727064
22727,E00023415,E09000033,E09000033,Westminster,64663.0927276611,1485.31383836842
22728,E00023416,E09000033,E09000033,Westminster,3088.10143280029,273.224108781904
22729,E00023418,E09000033,E09000033,Westminster,18992.2249679565,655.922981323605
22730,E00023419,E09000033,E09000033,Westminster,27247.8009033203,1165.100503393
22731,E00023421,E09000033,E09000033,Westminster,5531.02733612061,313.842132260677
22732,E00023422,E09000033,E09000033,Westminster,56783.665222168,1609.81467768162
22733,E00023423,E09000033,E09000033,Westminster,9625.04469299316,470.928031383933
22734,E00023424,E09000033,E09000033,Westminster,14661.6592407227,701.004296520831
22735,E00023425,E09000033,E09000033,Westminster,34730.6974563599,1014.41391583726
22736,E00023426,E09000033,E09000033,Westminster,24395.6525115967,777.047496121992
22737,E00023427,E09000033,E09000033,Westminster,11478.8026428223,615.035255141268
22738,E00023428,E09000033,E09000033,Westminster,12259.3792114258,645.9088134609
22739,E00023429,E09000033,E09000033,Westminster,13050.8178482056,748.115195154305
22740,E00023430,E09000033,E09000033,Westminster,2495.65725708008,233.689678813121
22741,E00023431,E09000033,E09000033,Westminster,53616.0696334839,1153.96388150296
22742,E00023432,E09000033,E09000033,Westminster,20107.8311157227,931.200387064913
22743,E00023433,E09000033,E09000033,Westminster,33485.098487854,918.877227331243
22744,E00023434,E09000033,E09000033,Westminster,15821.8291931152,797.122884758727
22745,E00023435,E09000033,E09000033,Westminster,64719.8273773193,1281.75972269613
22746,E00023436,E09000033,E09000033,Westminster,92144.6132659912,1819.38017712782
22747,E00023437,E09000033,E09000033,Westminster,38031.6745910645,1205.34406709231
22748,E00023438,E09000033,E09000033,Westminster,47568.9859237671,1144.79276184841
22749,E00023439,E09000033,E09000033,Westminster,20274.9738616943,714.977550062673
22750,E00023440,E09000033,E09000033,Westminster,35389.3710174561,1073.3213747965
22751,E00023441,E09000033,E09000033,Westminster,43546.6912918091,1260.07011108062
22752,E00023442,E09000033,E09000033,Westminster,23517.3235931396,992.061294208665
22753,E00023443,E09000033,E09000033,Westminster,14906.3704910278,802.088860084974
22754,E00023444,E09000033,E09000033,Westminster,18150.0656509399,653.319587617519
22755,E00023445,E09000033,E09000033,Westminster,42135.8531188965,1120.82172363599
22756,E00023446,E09000033,E09000033,Westminster,10255.7227935791,615.29801496321
22757,E00023447,E09000033,E09000033,Westminster,35161.1714019775,1114.71774008415
22758,E00023448,E09000033,E09000033,Westminster,30772.076171875,1477.37678323597
22759,E00023449,E09000033,E09000033,Westminster,33055.6779251099,1086.30267117242
22760,E00023450,E09000033,E09000033,Westminster,38914.1522827148,923.659523287267
22761,E00023451,E09000033,E09000033,Westminster,14328.3632965088,508.215353115435
22762,E00023452,E09000033,E09000033,Westminster,13729.2906341553,533.29962823357
22763,E00023453,E09000033,E09000033,Westminster,9034.73706817627,558.269049722949
22764,E00023454,E09000033,E09000033,Westminster,9737.17412567139,615.424417105252
22765,E00023455,E09000033,E09000033,Westminster,14726.6190185547,690.86264576439
22766,E00023456,E09000033,E09000033,Westminster,9101.80205535889,435.105861217875
22767,E00023458,E09000033,E09000033,Westminster,11178.6974868774,494.632256112572
22768,E00023459,E09000033,E09000033,Westminster,48500.1897888184,971.769666226831
22769,E00023460,E09000033,E09000033,Westminster,5419.04445648193,423.566781006537
22770,E00023461,E09000033,E09000033,Westminster,7531.09799957275,477.824254596262
22771,E00023462,E09000033,E09000033,Westminster,7497.77841186523,390.999022567331
22772,E00023463,E09000033,E09000033,Westminster,8693.87826538086,476.836444596774
22773,E00023464,E09000033,E09000033,Westminster,8042.97145080566,448.934510492809
22774,E00023465,E09000033,E09000033,Westminster,13094.9745559692,600.751690545046
22775,E00023466,E09000033,E09000033,Westminster,14596.704208374,627.859416073216
22776,E00023467,E09000033,E09000033,Westminster,15426.5255966187,681.741596265721
22777,E00023468,E09000033,E09000033,Westminster,11841.7854232788,584.622038968909
22778,E00023469,E09000033,E09000033,Westminster,4224.68780517578,345.312312553145
22779,E00023470,E09000033,E09000033,Westminster,16521.0793151855,695.86805872635
22780,E00023471,E09000033,E09000033,Westminster,10061.5063781738,705.930566611387
22781,E00023472,E09000033,E09000033,Westminster,10137.5550460815,528.214505608873
22782,E00023473,E09000033,E09000033,Westminster,9719.05912780762,765.738630597419
22783,E00023474,E09000033,E09000033,Westminster,1682.88700866699,165.13350721477
22784,E00023475,E09000033,E09000033,Westminster,10377.0363006592,438.935191459524
22785,E00023476,E09000033,E09000033,Westminster,27958.9454269409,1025.44356644216
22786,E00023477,E09000033,E09000033,Westminster,13638.1036224365,726.765822782675
22787,E00023478,E09000033,E09000033,Westminster,15499.7222137451,759.068417128104
22788,E00023479,E09000033,E09000033,Westminster,12378.3599472046,656.792823866341
22789,E00023480,E09000033,E09000033,Westminster,17217.884803772,688.140994497427
22790,E00023481,E09000033,E09000033,Westminster,16354.8221664429,608.465338864221
22791,E00023482,E09000033,E09000033,Westminster,10176.8489761353,492.423574094175
22792,E00023483,E09000033,E09000033,Westminster,42119.104385376,1340.30584854277
22793,E00023484,E09000033,E09000033,Westminster,14171.690574646,582.838373650352
22794,E00023485,E09000033,E09000033,Westminster,2706.27393341064,286.175343839907
22795,E00023486,E09000033,E09000033,Westminster,16267.7563018799,800.285450330412
22796,E00023487,E09000033,E09000033,Westminster,17494.5406265259,597.39079450806
22797,E00023488,E09000033,E09000033,Westminster,18673.7111206055,679.167059439198
22798,E00023489,E09000033,E09000033,Westminster,7934.68605041504,602.159701520471
22799,E00023490,E09000033,E09000033,Westminster,61888.7703170776,1513.82767862733
22800,E00023491,E09000033,E09000033,Westminster,13075.8048706055,717.441123523167
22801,E00023492,E09000033,E09000033,Westminster,7031.81736755371,401.434248852991
22802,E00023493,E09000033,E09000033,Westminster,7178.52278900146,375.776612614139
22803,E00023494,E09000033,E09000033,Westminster,26467.6228256226,824.46300906631
22804,E00023495,E09000033,E09000033,Westminster,13962.5085296631,688.28425362026
22805,E00023496,E09000033,E09000033,Westminster,10136.8734359741,638.693505554519
22806,E00023497,E09000033,E09000033,Westminster,11582.1570205688,570.587731783525
22807,E00023498,E09000033,E09000033,Westminster,15758.0073242188,889.269903116088
22808,E00023499,E09000033,E09000033,Westminster,20111.0558700562,1026.55242154559
22809,E00023500,E09000033,E09000033,Westminster,17666.5353164673,834.115297555647
22810,E00023501,E09000033,E09000033,Westminster,16792.0524291992,697.704421795245
22811,E00023502,E09000033,E09000033,Westminster,25071.4346847534,1092.06298928331
22812,E00023503,E09000033,E09000033,Westminster,17659.4672775269,793.510609945966
22813,E00023504,E09000033,E09000033,Westminster,14450.783782959,688.0972103457
22814,E00023505,E09000033,E09000033,Westminster,16954.6155853271,1161.13626718974
22815,E00023506,E09000033,E09000033,Westminster,16526.3717727661,1112.93321411558
22816,E00023507,E09000033,E09000033,Westminster,8872.79238128662,404.197829214576
22817,E00023508,E09000033,E09000033,Westminster,16294.3121490479,743.347575775186
22818,E00023509,E09000033,E09000033,Westminster,27463.7196426392,957.608219563786
22819,E00023510,E09000033,E09000033,Westminster,40326.4210281372,1077.28190496248
22820,E00023511,E09000033,E09000033,Westminster,1442.51728820801,154.509658891546
22821,E00023512,E09000033,E09000033,Westminster,12680.8556365967,660.2597016901
22822,E00023513,E09000033,E09000033,Westminster,5886.70916748047,480.160083782051
22823,E00023514,E09000033,E09000033,Westminster,10423.7936706543,505.931484189054
22824,E00023515,E09000033,E09000033,Westminster,7829.58896636963,583.055920129865
22825,E00023516,E09000033,E09000033,Westminster,13295.5144348145,763.37353716143
22826,E00023517,E09000033,E09000033,Westminster,38395.8709259033,1064.55468313144
22827,E00023518,E09000033,E09000033,Westminster,10975.8200759888,665.389243556812
22828,E00023519,E09000033,E09000033,Westminster,34340.16065979,836.293450923236
22829,E00023520,E09000033,E09000033,Westminster,7855.5333404541,598.447020039508
22830,E00023521,E09000033,E09000033,Westminster,7921.07070159912,358.443657066619
22831,E00023522,E09000033,E09000033,Westminster,15306.9160919189,692.061688585622
22832,E00023523,E09000033,E09000033,Westminster,14850.3143081665,630.139794750126
22833,E00023524,E09000033,E09000033,Westminster,7851.44708251953,378.092122090962
22834,E00023525,E09000033,E09000033,Westminster,15323.8047409058,950.529685358271
22835,E00023526,E09000033,E09000033,Westminster,15813.166595459,754.498575698961
22836,E00023527,E09000033,E09000033,Westminster,17994.8534317017,855.13897719689
22837,E00023528,E09000033,E09000033,Westminster,7222.18165588379,611.036874166319
22838,E00023529,E09000033,E09000033,Westminster,11709.9136505127,772.617253718709
22839,E00023530,E09000033,E09000033,Westminster,10198.0430297852,571.590032758317
22840,E00023531,E09000033,E09000033,Westminster,5790.20126342773,403.360531968504
22841,E00023532,E09000033,E09000033,Westminster,12761.0937271118,497.354628537966
22842,E00023533,E09000033,E09000033,Westminster,21458.8442306519,862.667263743932
22843,E00023534,E09000033,E09000033,Westminster,39180.2806167603,1167.44553722996
22844,E00023535,E09000033,E09000033,Westminster,19929.7933044434,697.999821069222
22845,E00023536,E09000033,E09000033,Westminster,11266.8042984009,501.497563009494
22846,E00023537,E09000033,E09000033,Westminster,12094.3076248169,646.76039299988
22847,E00023538,E09000033,E09000033,Westminster,22065.8810806274,2261.77743324605
22848,E00023539,E09000033,E09000033,Westminster,22577.7985458374,658.221131805776
22849,E00023540,E09000033,E09000033,Westminster,15667.5655822754,639.995326254512
22850,E00023541,E09000033,E09000033,Westminster,6301.35003662109,457.611621230403
22851,E00023542,E09000033,E09000033,Westminster,5213.4754486084,369.777431754663
22852,E00023543,E09000033,E09000033,Westminster,11155.2067489624,526.595819324356
22853,E00023544,E09000033,E09000033,Westminster,10749.0348205566,495.080210117621
22854,E00023545,E09000033,E09000033,Westminster,10727.4184341431,534.735729781043
22855,E00023546,E09000033,E09000033,Westminster,12490.8667984009,749.260237773891
22856,E00023547,E09000033,E09000033,Westminster,12188.7660980225,561.252992333769
22857,E00023548,E09000033,E09000033,Westminster,5840.01570892334,449.250083025861
22858,E00023549,E09000033,E09000033,Westminster,3438.33673858643,233.587602003122
22859,E00023550,E09000033,E09000033,Westminster,14222.3445510864,592.692090220705
22860,E00023551,E09000033,E09000033,Westminster,10239.941696167,464.777171392691
22861,E00023552,E09000033,E09000033,Westminster,5972.763671875,358.946380574004
22862,E00023554,E09000033,E09000033,Westminster,10189.8345413208,696.613878256053
22863,E00023555,E09000033,E09000033,Westminster,12078.178024292,543.734513378202
22864,E00023556,E09000033,E09000033,Westminster,12805.6638412476,705.172057131491
22865,E00023557,E09000033,E09000033,Westminster,18990.1156463623,881.104885641821
22866,E00023558,E09000033,E09000033,Westminster,12848.9486160278,487.493813105488
22867,E00023559,E09000033,E09000033,Westminster,50804.2489242554,1470.98340008044
22868,E00023560,E09000033,E09000033,Westminster,28664.6722259521,1204.37040853112
22869,E00023561,E09000033,E09000033,Westminster,12426.1756591797,609.834692847604
22870,E00023562,E09000033,E09000033,Westminster,3720.53777313232,268.444378885172
22871,E00023564,E09000033,E09000033,Westminster,9997.12316131592,519.14739213547
22872,E00023565,E09000033,E09000033,Westminster,22446.9969024658,716.519685528299
22873,E00023566,E09000033,E09000033,Westminster,19788.6881866455,722.301700440483
22874,E00023567,E09000033,E09000033,Westminster,21001.1260223389,636.662424998609
22875,E00023569,E09000033,E09000033,Westminster,14998.718208313,782.809728458279
22876,E00023570,E09000033,E09000033,Westminster,13655.046295166,531.097742724534
22877,E00023571,E09000033,E09000033,Westminster,10140.0693283081,528.308325690375
22878,E00023572,E09000033,E09000033,Westminster,31156.6717224121,1532.05327019843
22879,E00023573,E09000033,E09000033,Westminster,8168.05176544189,633.95513100009
22880,E00023574,E09000033,E09000033,Westminster,18676.7175750732,804.055922338013
22881,E00023575,E09000033,E09000033,Westminster,34703.6994857788,1144.46362861653
22882,E00023576,E09000033,E09000033,Westminster,12790.6178207397,506.714631284519
22883,E00023577,E09000033,E09000033,Westminster,14316.2722702026,508.553712844672
22884,E00023578,E09000033,E09000033,Westminster,21834.2209320068,909.14004956701
22885,E00023579,E09000033,E09000033,Westminster,6192.57615661621,396.98514399301
22886,E00023580,E09000033,E09000033,Westminster,13799.9487533569,487.249626743154
22887,E00023581,E09000033,E09000033,Westminster,20648.2312011719,873.726771309196
22888,E00023585,E09000033,E09000033,Westminster,23257.2719802856,940.287665284371
22889,E00023586,E09000033,E09000033,Westminster,18074.3784637451,619.345169535191
22890,E00023587,E09000033,E09000033,Westminster,13998.0083465576,712.859012728332
22891,E00023588,E09000033,E09000033,Westminster,15354.3404388428,546.088195737377
22892,E00023589,E09000033,E09000033,Westminster,11874.0365142822,753.660234875894
22893,E00023590,E09000033,E09000033,Westminster,12841.886177063,597.18872898261
22894,E00023591,E09000033,E09000033,Westminster,15443.9571838379,841.668129556651
22895,E00023592,E09000033,E09000033,Westminster,21372.9189834595,755.44577465427
22896,E00023593,E09000033,E09000033,Westminster,16143.1080703735,640.479269835469
22897,E00023595,E09000033,E09000033,Westminster,24722.9027099609,1017.70130692342
22898,E00023596,E09000033,E09000033,Westminster,13466.5381774902,610.857967070715
22899,E00023597,E09000033,E09000033,Westminster,11702.4130554199,519.436790343149
22900,E00023598,E09000033,E09000033,Westminster,13005.5782775879,571.489765059436
22901,E00023599,E09000033,E09000033,Westminster,7325.25898742676,463.164253001553
22902,E00023600,E09000033,E09000033,Westminster,9786.24954986572,476.412785244569
22903,E00023601,E09000033,E09000033,Westminster,21696.864616394,1050.79013473918
22904,E00023602,E09000033,E09000033,Westminster,10038.4683761597,409.371720667818
22905,E00023603,E09000033,E09000033,Westminster,14911.6761169434,734.587935770825
22906,E00023604,E09000033,E09000033,Westminster,17158.5155258179,786.474763593973
22907,E00023605,E09000033,E09000033,Westminster,23192.0336837769,954.069715215913
22908,E00023606,E09000033,E09000033,Westminster,23254.9534988403,1121.94004525867
22909,E00023608,E09000033,E09000033,Westminster,10528.7938308716,556.655699143973
22910,E00023609,E09000033,E09000033,Westminster,10931.8060455322,518.167119329901
22911,E00023610,E09000033,E09000033,Westminster,11653.2257995605,595.605246399082
22912,E00023611,E09000033,E09000033,Westminster,7425.95944976807,470.485762335226
22913,E00023612,E09000033,E09000033,Westminster,22038.3900527954,815.319058157831
22914,E00023613,E09000033,E09000033,Westminster,8547.05512237549,433.500395314986
22915,E00023614,E09000033,E09000033,Westminster,17834.4981384277,807.659058610816
22916,E00023615,E09000033,E09000033,Westminster,15363.2236175537,746.315076083666
22917,E00023616,E09000033,E09000033,Westminster,10910.9883956909,817.365364030667
22918,E00023617,E09000033,E09000033,Westminster,5492.16993713379,378.086250660768
22919,E00023618,E09000033,E09000033,Westminster,31071.1734542847,1328.81557405259
22920,E00023619,E09000033,E09000033,Westminster,46740.9923782349,1227.81211104857
22921,E00023620,E09000033,E09000033,Westminster,22941.6376037598,1065.48946240245
22922,E00023621,E09000033,E09000033,Westminster,8149.99453735352,475.960268251574
22923,E00023622,E09000033,E09000033,Westminster,32063.0888442993,865.092854873395
22924,E00023623,E09000033,E09000033,Westminster,30234.9384307861,938.157019383151
22925,E00023624,E09000033,E09000033,Westminster,10504.7859039307,563.705895375819
22926,E00023625,E09000033,E09000033,Westminster,30086.5553817749,1042.11034951267
22927,E00023626,E09000033,E09000033,Westminster,9745.49559020996,547.927220387698
22928,E00023627,E09000033,E09000033,Westminster,11169.6764907837,625.636263234323
22929,E00023628,E09000033,E09000033,Westminster,9867.04628753662,642.153357128762
22930,E00023629,E09000033,E09000033,Westminster,11902.0142745972,663.221799524849
22931,E00023630,E09000033,E09000033,Westminster,9533.76177978516,458.485677023614
22932,E00023631,E09000033,E09000033,Westminster,12233.5084686279,556.192132403699
22933,E00023632,E09000033,E09000033,Westminster,19685.6604232788,881.8909577853
22934,E00023633,E09000033,E09000033,Westminster,18304.1079483032,625.97913977741
22935,E00023634,E09000033,E09000033,Westminster,30383.4268264771,1038.3253430169
22936,E00023635,E09000033,E09000033,Westminster,11145.288269043,547.879635451659
22937,E00023636,E09000033,E09000033,Westminster,25029.1535644531,922.916807373114
22938,E00023637,E09000033,E09000033,Westminster,32059.3232955933,1084.38351038467
22939,E00023638,E09000033,E09000033,Westminster,4852.13544464111,306.763522880247
22940,E00023639,E09000033,E09000033,Westminster,11223.6778030396,595.404951410362
22941,E00023640,E09000033,E09000033,Westminster,25229.419342041,1096.78463930295
22942,E00023641,E09000033,E09000033,Westminster,18388.1669692993,712.954166121683
22943,E00023643,E09000033,E09000033,Westminster,17797.4510498047,593.786546059681
22944,E00023644,E09000033,E09000033,Westminster,11634.8298339844,658.437707199277
22945,E00023646,E09000033,E09000033,Westminster,9580.42874908447,495.692609240168
22946,E00023647,E09000033,E09000033,Westminster,23785.2303619385,983.045000538631
22947,E00023648,E09000033,E09000033,Westminster,17442.2721786499,591.175719676222
22948,E00023649,E09000033,E09000033,Westminster,12182.6463165283,683.076877250332
22949,E00023650,E09000033,E09000033,Westminster,10336.6016769409,484.861784991251
22950,E00023651,E09000033,E09000033,Westminster,17035.11328125,788.791275557856
22951,E00023652,E09000033,E09000033,Westminster,9472.23358917236,692.466506638654
22952,E00023653,E09000033,E09000033,Westminster,6366.91229248047,409.758993940167
22953,E00023655,E09000033,E09000033,Westminster,10300.1881790161,517.381213636429
22954,E00023656,E09000033,E09000033,Westminster,6598.05793762207,403.925277493418
22955,E00023657,E09000033,E09000033,Westminster,48544.0736999512,1772.86954084645
22956,E00023658,E09000033,E09000033,Westminster,57054.0388336182,2016.82712542066
22957,E00023659,E09000033,E09000033,Westminster,12073.5788574219,654.423088985404
22958,E00023660,E09000033,E09000033,Westminster,22126.7945251465,674.551380488839
22959,E00023661,E09000033,E09000033,Westminster,25798.0034637451,1115.58296189809
22960,E00023662,E09000033,E09000033,Westminster,30243.0108718872,1230.84603059908
22961,E00023663,E09000033,E09000033,Westminster,14496.0173492432,672.983892426042
22962,E00023664,E09000033,E09000033,Westminster,29999.236869812,1136.8529570994
22963,E00023665,E09000033,E09000033,Westminster,19863.1565856934,1032.5003107763
22964,E00023666,E09000033,E09000033,Westminster,29467.4681777954,1258.9672141481
22965,E00023668,E09000033,E09000033,Westminster,25640.9944839478,1238.85350884985
22966,E00023669,E09000033,E09000033,Westminster,197084.58669281,2892.7423271411
22967,E00023670,E09000033,E09000033,Westminster,44218.1646728516,1029.08385748959
22968,E00023671,E09000033,E09000033,Westminster,30831.9362030029,1222.60081683804
22969,E00023672,E09000033,E09000033,Westminster,29140.0033187866,843.379844955202
22970,E00023674,E09000033,E09000033,Westminster,13194.0381240845,689.054385906779
22971,E00023675,E09000033,E09000033,Westminster,12519.9523544312,670.993712880839
22972,E00023676,E09000033,E09000033,Westminster,63684.6146087646,1844.2114611051
22973,E00023678,E09000033,E09000033,Westminster,13528.988861084,656.987870751542
22974,E00023679,E09000033,E09000033,Westminster,17351.5190124512,697.321331879743
22975,E00023680,E09000033,E09000033,Westminster,14853.6142730713,688.823868872163
22976,E00023681,E09000033,E09000033,Westminster,43973.0235290527,1141.60422398457
22977,E00023682,E09000033,E09000033,Westminster,49705.4494781494,1435.32929634938
22978,E00023684,E09000033,E09000033,Westminster,13684.8453598022,723.876439449696
22979,E00023685,E09000033,E09000033,Westminster,10604.0594100952,531.86668622829
22980,E00023686,E09000033,E09000033,Westminster,24036.4351425171,986.273082479169
22981,E00023687,E09000033,E09000033,Westminster,19023.2300109863,946.043261880156
22982,E00023688,E09000033,E09000033,Westminster,29529.2665023804,1413.72834222685
22983,E00023689,E09000033,E09000033,Westminster,56925.1958389282,1349.04906943275
22984,E00023690,E09000033,E09000033,Westminster,14550.5056152344,869.611098993719
22985,E00023691,E09000033,E09000033,Westminster,11345.9254150391,568.480095859947
22986,E00023692,E09000033,E09000033,Westminster,10658.5633010864,514.351483739653
22987,E00023694,E09000033,E09000033,Westminster,8691.29140472412,513.072084440328
22988,E00023695,E09000033,E09000033,Westminster,9836.35592651367,493.864272203043
22989,E00023696,E09000033,E09000033,Westminster,11374.5980148315,697.589358028975
22990,E00023697,E09000033,E09000033,Westminster,31731.0843734741,1214.507493482
22991,E00023698,E09000033,E09000033,Westminster,9017.83582305908,484.037709373899
22992,E00023699,E09000033,E09000033,Westminster,20724.1570892334,938.07180538934
22993,E00023700,E09000033,E09000033,Westminster,21205.7004928589,887.468896099345
22994,E00023701,E09000033,E09000033,Westminster,3033.05122375488,220.124702324121
22995,E00023702,E09000033,E09000033,Westminster,11879.2701721191,713.830900460924
22996,E00023703,E09000033,E09000033,Westminster,16156.7701797485,713.955447398588
22997,E00023704,E09000033,E09000033,Westminster,9588.66696929932,709.250709420909
22998,E00023705,E09000033,E09000033,Westminster,1099.49033355713,136.84388116537
22999,E00023706,E09000033,E09000033,Westminster,18218.0088348389,703.239309888511
23000,E00023707,E09000033,E09000033,Westminster,7292.99367523193,421.737631431598
23001,E00023708,E09000033,E09000033,Westminster,10385.1262512207,638.966086659017
23002,E00023709,E09000033,E09000033,Westminster,12420.9920196533,506.752395107991
23003,E00023710,E09000033,E09000033,Westminster,7715.49633026123,421.860211425762
