,Postcode,PC_Area,Target,Population aged 65+,Females aged 65-69,Females aged 65+,Females aged 70-74,Females aged 75-79,Females aged 80-84,Females aged 85-89,Females aged 90-94,Females aged 95_99,Females aged 100+,Males aged 65-69,Males aged 65+,Males aged 70-74,Males aged 75-79,Males aged 80-84,Males aged 85-89,Males aged 90-94,Males aged 95-99,Males aged 100+,Females aged under 25,Females aged 25-44,Females aged 45-65,Males aged under 25,Males aged 25-44,Males aged 45-65,Mean Income,Median Income,Mode Income,Lower Quartile
0,NW14HB,NW,0,4,0,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,3,3,4,4,77800,70921.05263,110000,47441.86047
1,NW14LJ,NW,0,7,1,4,1,1,1,0,0,0,0,0,3,1,1,1,0,0,0,0,3,6,3,3,5,4,89400,82946.42857,110000,57727.27273
2,NW14NR,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,88200,82142.85714,110000,58000
3,NW14NT,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,82900,75625,110000,49500
4,NW14NX,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,40300,35735.29412,22500,22875
5,NW14NY,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,83700,75000,110000,50000
6,NW14PJ,NW,0,6,1,3,1,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,4,4,4,4,5,4,70900,63529.41176,110000,42126.43678
7,NW14PN,NW,0,4,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,2,82900,76666.66667,110000,51666.66667
8,NW14PP,NW,0,4,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,2,1,76600,69148.93617,110000,45636.36364
9,NW14PR,NW,0,8,0,3,1,1,0,0,1,0,0,1,5,2,1,0,0,1,0,0,7,4,4,6,6,5,79700,73793.10345,110000,49333.33333
10,NW14PS,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,80800,73888.88889,110000,48500
11,NW14PT,NW,1,20,1,8,3,1,3,0,0,0,0,2,12,3,1,3,1,1,1,0,14,29,16,17,36,18,70400,63313.1068,110000,42007.21154
12,NW14QA,NW,0,19,2,12,2,3,4,1,0,0,0,2,7,1,1,1,1,1,0,0,10,17,10,10,22,8,67600,60752.50836,110000,40158.22785
13,NW14QB,NW,0,19,2,13,2,3,3,1,1,1,0,2,6,1,1,1,1,0,0,0,7,11,11,7,13,8,57400,50279.85075,32500,31983.60656
