,pcd7,Large User,Total households,Population aged 65+,Females,Females aged 5-9,Females aged 65-69,Females aged 65+,Females aged 70-74,Females aged 75-79,Females aged 80-84,Females aged 85-89,Females aged 90-94,Females aged 95_99,Females aged 100+,Males,Males aged 5-9,Males aged 65-69,Males aged 65+,Males aged 70-74,Males aged 75-79,Males aged 80-84,Males aged 85-89,Males aged 90-94,Males aged 95-99,Males aged 100+,Females aged under 25,Females aged 25-44,Females aged 45-65,Males aged under 25,Males aged 25-44,Males aged 45-65,PC_Area,Target,Mean Income,Median Income,Mode Income,Lower Quartile
0,NW13AU,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,NW,0,64500,58333.33333,47500,38333.33333
1,NW14HB,0,8,4,12,1,0,3,1,1,1,0,0,0,0,13,1,0,1,0,1,0,0,0,0,0,1,4,3,3,4,4,NW,0,77800,70921.05263,110000,47441.86047
2,NW14LJ,0,9,7,16,0,1,4,1,1,1,0,0,0,0,16,1,0,3,1,1,1,0,0,0,0,3,6,3,3,5,4,NW,0,89400,82946.42857,110000,57727.27273
3,NW14LL,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NW,0,88200,82142.85714,110000,58000
4,NW14NR,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,NW,1,88200,82142.85714,110000,58000
5,NW14NT,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,NW,1,82900,75625,110000,49500
6,NW14NX,0,4,0,5,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,NW,1,40300,35735.29412,22500,22875
7,NW14NY,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NW,1,83700,75000,110000,50000
8,NW14PJ,0,15,6,16,1,1,3,1,0,1,0,0,0,0,17,1,0,3,1,1,1,0,0,0,0,4,4,4,4,5,4,NW,0,70900,63529.41176,110000,42126.43678
9,NW14PN,0,6,4,12,0,0,4,1,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,2,3,3,1,1,2,NW,0,82900,76666.66667,110000,51666.66667
10,NW14PP,0,10,4,14,0,1,4,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,4,1,2,1,NW,0,76600,69148.93617,110000,45636.36364
11,NW14PR,0,18,8,19,1,0,3,1,1,0,0,1,0,0,24,2,1,5,2,1,0,0,1,0,0,7,4,4,6,6,5,NW,0,79700,73793.10345,110000,49333.33333
12,NW14PS,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,NW,0,80800,73888.88889,110000,48500
13,NW14PT,0,72,20,69,2,1,8,3,1,3,0,0,0,0,87,4,2,12,3,1,3,1,1,1,0,14,29,16,17,36,18,NW,1,70400,63313.1068,110000,42007.21154
14,NW14QA,0,52,19,51,2,2,12,2,3,4,1,0,0,0,48,1,2,7,1,1,1,1,1,0,0,10,17,10,10,22,8,NW,0,67600,60752.50836,110000,40158.22785
15,NW14QB,0,44,19,44,2,2,13,2,3,3,1,1,1,0,36,2,2,6,1,1,1,1,0,0,0,7,11,11,7,13,8,NW,0,57400,50279.85075,32500,31983.60656
16,NW14QD,0,32,15,39,2,2,9,2,2,3,0,0,0,0,32,1,2,6,1,1,1,1,0,0,0,7,12,9,6,12,7,NW,0,59400,51963.35079,32500,32873.83178
17,NW14QE,0,42,20,47,3,2,14,2,3,3,1,1,1,1,36,2,2,6,1,1,1,1,0,0,0,7,12,11,7,13,8,NW,0,50300,43625.82781,32500,27136.22291
18,NW14QP,0,13,0,11,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,6,2,2,6,3,NW,0,71900,64878.04878,110000,45238.09524
19,NW14RB,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NW,0,88200,82142.85714,110000,58000
20,NW14RD,0,51,15,47,4,2,8,2,2,1,1,0,0,0,49,4,2,7,1,2,1,1,0,0,0,8,13,14,10,14,14,NW,0,53500,46898.017,32500,29735.37604
21,NW14RH,0,22,5,23,2,1,3,1,0,1,0,0,0,0,19,2,1,2,0,1,0,0,0,0,0,5,7,6,3,7,5,NW,0,40900,35222.22222,22500,22207.20721
22,NW14RJ,0,24,13,39,3,2,9,2,2,1,1,1,0,0,38,3,1,4,1,1,1,0,0,0,0,6,9,12,7,13,11,NW,0,88300,81836.73469,110000,56176.47059
23,NW14RL,0,1,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NW,0,71900,65833.33333,110000,47857.14286
24,NW14RP,0,22,9,27,2,1,5,2,1,1,0,0,0,0,31,2,1,4,1,1,1,0,0,0,0,4,8,8,6,10,9,NW,0,73800,66285.71429,110000,43907.56303
25,NW14RT,0,4,0,4,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,NW,0,90200,83125,110000,57368.42105
26,NW14RY,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,NW,1,59000,52692.30769,37500,34615.38462
27,NW14SA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NW,0,75000,70000,110000,50000
28,NW14SH,0,18,6,19,2,1,3,1,1,0,0,0,0,0,18,1,1,3,1,1,0,0,0,0,0,3,5,6,3,5,6,NW,0,59800,51732.67327,32500,31666.66667
29,NW14SJ,0,30,7,34,2,1,5,1,1,1,0,1,0,0,35,2,1,2,0,1,0,0,0,0,0,7,12,8,9,15,7,NW,0,56900,49875,32500,31341.46341
30,NW14SL,0,45,15,43,3,2,8,2,2,1,1,0,0,0,48,3,2,7,1,2,1,1,0,0,0,7,12,13,10,14,14,NW,0,58500,51509.09091,42500,32812.5
31,NW14SN,0,66,12,54,3,2,7,2,0,1,0,2,0,0,55,4,0,5,2,2,1,0,0,0,0,12,24,8,13,23,10,NW,0,55300,48013.54402,32500,30309.27835
