,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5l,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q11a,Q11b,Q11c,Q11d,Q11e,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q12h,Q12i,Q12j,Q12k,Q12l,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q14a,Q14b,Q14c,Q14d,Q14e,Q14f,Q14g,Q14h,Q14i,Q14j,Q14k,Q14l,Q14m,Q20,Q21,Q22,Q25,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q26k,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea
0,0.0,65.0,0.0,"Unemployed, Not Registered-Seeking Work",White - British,5,5,3,5,5,5,4,4,5,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2.0,2,0.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,3,Rents (With Or Without Housing Benefit),4,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,4.0,2.0,0.0,3,6,7,8,4,1,1.0,1.0,NHS GP in the Westminster City Council Area,1.0,9,SW1V1DU,Warwick,E00024058
1,0.0,26.0,0.0,Working - Full Time (30+ HRS),Mixed - White and Asian ,2,2,3,3,3,3,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5,Rents (With Or Without Housing Benefit),3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,4.0,0.0,0.0,3,11,10,11,5,1,1.0,2.0,NHS GP in the Westminster City Council Area,1.0,6,SW1V1DU,Warwick,E00024058
2,0.0,53.0,0.0,Working - Part Time (17 - 29 HRS),Any - Other White background (type in),4,4,4,4,4,2,1,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,3,Rents (With Or Without Housing Benefit),4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,3,10,11,11,6,1,1.0,1.0,NHS GP in the Westminster City Council Area,0.0,8,SW1V1DU,Warwick,E00024058
3,0.0,44.0,0.0,"Unemployed, Not Registered-Seeking Work",Mixed - White and Black - Caribbean,1,1,1,1,1,1,2,2,1,5,5,1,1.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,4,Rents (With Or Without Housing Benefit),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,2.0,1.0,1.0,3,10,10,9,10,1,1.0,1.0,NHS GP in the Westminster City Council Area,0.0,9,SW1V1DU,Warwick,E00024058
4,1.0,45.0,0.0,"Unemployed, Not Registered-Seeking Work",(Refused),1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,Rents (With Or Without Housing Benefit),3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,5.0,0.0,0.0,3,11,11,9,10,1,1.0,2.0,NHS GP in the Westminster City Council Area,0.0,7,SW1V1DU,Warwick,E00024058
5,1.0,50.0,1.0,Working - Part Time (8 - 16 HRS),(Refused),2,2,3,3,2,2,3,3,5,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,Rents (With Or Without Housing Benefit),4,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,3,7,8,7,4,3,1.0,2.0,NHS GP in the Westminster City Council Area,0.0,6,SW1V1DU,Warwick,E00024058
6,0.0,22.0,0.0,Full-Time Student,Any - Other White background (type in),5,3,1,5,6,6,3,6,6,6,6,2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,Rents (With Or Without Housing Benefit),6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1048.0,4.0,0.0,0.0,3,11,9,10,3,2,2.0,1.0,NHS GP in the Westminster City Council Area,1.0,9,SW1V1DU,Warwick,E00024058
7,0.0,28.0,0.0,Working - Full Time (30+ HRS),Mixed - White and Asian ,5,5,3,5,1,1,1,5,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2.0,2,1.0,1.0,3.0,1.0,5.0,1.0,8.0,1.0,1.0,11.0,1.0,1.0,,,2.0,,2.0,,1.0,,,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,Rents (With Or Without Housing Benefit),3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,0.0,2.0,0.0,0.0,3,11,11,10,11,1,1.0,1.0,NHS GP in the Westminster City Council Area,1.0,5,SW1V1DU,Warwick,E00024058
8,0.0,41.0,1.0,Working - Full Time (30+ HRS),Any - Other White background (type in),5,4,1,3,2,2,4,3,4,5,6,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,6,0.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,4.0,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,Rents (With Or Without Housing Benefit),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0,4.0,2.0,0.0,3,9,10,10,5,1,1.0,1.0,NHS GP in the Westminster City Council Area,1.0,6,W22BA,Hyde Park,E00023634
9,0.0,50.0,1.0,Working - Full Time (30+ HRS),White - British,5,5,3,4,1,4,3,4,2,2,6,4,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,3.0,2,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,2.0,,,,,,,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,Live Here Rent Free,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,1.0,0.0,0.0,3,9,9,9,6,3,1.0,1.0,NHS GP in the Westminster City Council Area,1.0,8,W22SB,Hyde Park,E00023631
10,0.0,25.0,0.0,Working - Full Time (30+ HRS),White - British,5,5,3,1,1,6,1,1,5,4,6,4,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,1.0,,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,Owns Outright,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,3.0,0.0,0.0,3,8,8,8,10,1,1.0,1.0,NHS GP in the Westminster City Council Area,1.0,8,W22BA,Hyde Park,E00023634
11,0.0,41.0,0.0,Working - Full Time (30+ HRS),White - British,4,5,4,4,2,6,3,5,4,4,6,2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2.0,2,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,Rents (With Or Without Housing Benefit),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,0.0,3.0,1.0,0.0,3,8,8,8,3,1,1.0,1.0,NHS GP in the Westminster City Council Area,1.0,9,W22SB,Hyde Park,E00023631
12,0.0,20.0,1.0,Full-Time Student,Any - Other White background (type in),1,3,6,1,6,6,1,1,3,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,6.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,4,Live Here Rent Free,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,5.0,0.0,0.0,3,11,11,11,2,1,1.0,1.0,NHS GP in the Westminster City Council Area,0.0,3,W22SB,Hyde Park,E00023631
13,0.0,24.0,0.0,Working - Part Time (8 - 16 HRS),Any - Other White background (type in),5,5,5,5,2,6,2,2,2,5,6,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,Live Here Rent Free,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,0.0,5.0,1.0,0.0,3,10,10,10,6,1,1.0,1.0,NHS GP in the Westminster City Council Area,0.0,7,W22BA,Hyde Park,E00023634
14,0.0,77.0,0.0,Retired,White - British,5,5,6,4,1,6,3,4,5,5,6,4,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,0.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,Owns Outright,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,0.0,2.0,0.0,0.0,3,7,12,8,9,1,1.0,1.0,NHS GP in the Westminster City Council Area,1.0,9,W22NR,Hyde Park,E00023634
