,case,S1,AGE,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5l,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q10h,Q10i,Q10j,Q11a,Q11b,Q11c,Q11d,Q11e,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q12h,Q12i,Q12j,Q12k,Q12l,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q14a,Q14b,Q14c,Q14d,Q14e,Q14f,Q14g,Q14h,Q14i,Q14j,Q14k,Q14l,Q14m,Q20,Q21,Q22,Q25,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q26k,Q27,Q27a,Q28,Q28a,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q37b,Q37c,Q37d,Q37e,Q38,Postcode_clean,Ward,CategoryType,WellbeingType,AcornTypeCode,OutputArea,LowerSuperOutput,weight
0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Internet via computer / laptop   ,,,Internet via other tablet   ,Internet via an Android smartphone   ,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,2.0,,0.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,"Multi-ethnic, purpose-built estates",Sensible seniors,54.0,0.0,E01004749,1.07753155263085
1,3,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Internet via computer / laptop   ,,,Internet via other tablet   ,Internet via an Android smartphone   ,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,0.0,,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,,,,,1.0,0.0,0.0,"Multi-ethnic, purpose-built estates",Sensible seniors,54.0,0.0,E01004749,0.967598384329012
2,4,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Internet via computer / laptop   ,,,,Internet via an Android smartphone   ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,"Other (type in, multiple allowed)",,Japanese,2.0,0.0,0.0,"Multi-ethnic, purpose-built estates",Sensible seniors,54.0,0.0,E01004749,0.772388820130465
3,5,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Internet via computer / laptop   ,Internet via an iPhone   ,,,Internet via an Android smartphone   ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,1.0,,1.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,"Other EU, EEA or Swiss national",,,,0.0,0.0,0.0,"Multi-ethnic, purpose-built estates",Sensible seniors,54.0,0.0,E01004749,1.19627931975207
4,6,0.0,4.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Internet via an Android smartphone   ,,,,,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,,0.0,,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,,,Refused,,3.0,0.0,0.0,"Multi-ethnic, purpose-built estates",Sensible seniors,54.0,0.0,E01004749,1.19627931975207
5,7,1.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Internet via an Android smartphone   ,,,,,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,3.0,5.0,3.0,6.0,1.0,0.0,2.0,0.0,1.0,,,Refused,,1.0,0.0,0.0,"Multi-ethnic, purpose-built estates",Sensible seniors,54.0,0.0,E01004749,0.832921996886271
6,9,0.0,5.0,4.0,2.0,0.0,4.0,3.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Internet via computer / laptop   ,Internet via an iPhone   ,,,Internet via an Android smartphone   ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,0.0,,0.0,0.0,1.0,4.0,2.0,11.0,2.0,2.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,"Multi-ethnic, purpose-built estates",Sensible seniors,54.0,0.0,E01004749,1.14411417325706
7,10,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Internet via computer / laptop   ,Internet via an iPhone   ,,Internet via other tablet   ,Internet via an Android smartphone   ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,0.0,,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,0.0,0.0,"Multi-ethnic, purpose-built estates",Sensible seniors,54.0,0.0,E01004749,0.967598384329012
8,11,1.0,3.0,1.0,2.0,0.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Internet via computer / laptop   ,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,2.0,,0.0,0.0,4.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,,"Other (type in, multiple allowed)",,Iranian,1.0,1.0,1.0,Metropolitan money,Gym & juices,2.0,1.0,E01004680,1.01617069925534
9,12,1.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Internet via computer / laptop   ,Internet via an iPhone   ,Internet via an iPad   ,,,Internet via digital / satellite TV   ,,,,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,,0.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,"Other (type in, multiple allowed)",,Iceland,2.0,2.0,1.0,Metropolitan professionals,Cultural concerns,16.0,2.0,E01004683,0.832921996886271
