,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5l,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q11a,Q11b,Q11c,Q11d,Q11e,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q12h,Q12i,Q12j,Q12k,Q12l,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q14a,Q14b,Q14c,Q14d,Q14e,Q14f,Q14g,Q14h,Q14i,Q14j,Q14k,Q14l,Q14m,Q20,Q21,Q22,Q25,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q26k,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea
Q12d,-0.14967818,-0.032658542,-0.051565134,-0.19408765,-0.125610152,-0.134394639,-0.149558092,-0.135803289,-0.135345255,-0.294023717,-0.109139848,-0.139069151,-0.148855686,-0.132658242,-0.15660062,0.137299462,-0.193974972,-0.129031568,-0.101429383,-0.031267361,-0.052288053,-0.031267361,-0.078012958,-0.03162209,-0.023426987,-0.016319776,-0.020293529,0.068963604,-0.045000061,-0.094184955,0.205927787,1,0.148883883,0.009080335,0.066137268,0.030312001,-0.019218331,-0.096049135,-0.245591754,-0.056504935,-0.000387652,-0.013785341,0.142064228,0.420238489,0.187996794,0.022574864,0.06978491,0.083425485,0.014213243,-0.0278012,0.229943403,-0.200441238,-0.033359621,-0.100867694,0.476968912,-0.038904675,0.156965688,0.073837188,-0.04185188,0.016970918,-0.045491711,-0.052288053,0.016970918,0.23664538,-0.137124492,0.048851753,0.024541014,-0.123440398,-0.038386377,-0.07231506,-0.043655946,-0.092044699,-0.047709134,-0.081389578,0.017702492,0.0992444,,0.005938156,0.068334755,-0.029648466,0.010687651,-0.109602914,0.078582489,-0.022138672,-0.01747144,-0.113952941,-0.120859837,-0.056396197,-0.108806593,0.038443227,-0.161063265,-0.063077393,0.037468935,0.126807387,0.032361486
Q14e,-0.126152881,-0.12439007,-0.009089201,-0.163102004,-0.083443112,-0.160286801,-0.143660641,-0.11406212,-0.112384802,-0.20909577,-0.098076887,-0.131415011,-0.195965868,-0.146992785,-0.205354975,0.049305212,-0.212338886,-0.119543426,-0.056082234,-0.00198598,-0.021708647,-0.027754069,-0.099931078,0.01168568,0.019858692,0.006183928,0.041963066,0.044295537,-0.027835535,-0.039092689,0.194048865,0.476968912,0.026007368,0.030649243,0.040944795,-0.043754579,-0.057481621,-0.089187603,-0.106392637,-0.053522158,0.007840871,-0.023501753,0.18759964,0.102660653,0.089227339,0.06323602,0.076373477,0.086369876,0.024362353,-0.02730179,0.244497236,-0.229096944,-0.036594887,-0.189026623,1,0.055464658,0.18223748,0.13382915,-0.033559972,-0.028539677,-0.188973309,-0.049527876,-0.028539677,0.176552514,-0.145088012,0.053239595,-0.009645232,-0.10468169,-0.078825816,-0.06269025,-0.065345395,-0.072888645,-0.014730984,-0.044128641,0.013096436,0.097264866,,0.016456663,0.085571589,0.03984226,-0.065221215,-0.125825224,0.051742884,-0.026482468,0.00382258,-0.062393563,-0.088875881,-0.036543915,-0.078562796,0.034223673,-0.102273477,-0.06008995,0.055586377,0.028929051,0.055651066
Q14d,-0.124591607,-0.114437184,-0.009378742,-0.07364071,-0.013748791,0.166437706,0.124770761,-0.000861966,0.130250813,0.097658961,-0.05446117,0.192468752,0.125207408,0.138197675,0.127786592,-0.174412618,0.174400249,-0.112712262,-0.019031838,-0.003011947,0.005117427,-0.003011947,-0.073406402,-0.091612733,-0.086709214,-0.102889473,-0.095697305,-0.15952782,-0.034319151,-0.08676513,0.014925629,-0.100867694,0.058568261,-0.060740353,-0.009840216,0.00557782,0.047747753,-0.00465325,0.087907242,-0.028638188,-0.030453414,-0.015123974,-0.00841993,-0.016831877,0.074847253,-0.074836892,-0.004292581,-0.011810677,-0.00646624,0.005876837,-0.21274462,-0.12849763,0.043772021,1,-0.189026623,0.105167762,-0.024187284,-0.016974866,0.059978675,0.018890997,-0.191594078,-0.050214751,0.018890997,-0.030497208,0.004552743,0.025754606,0.243100008,0.053499385,-0.003141724,0.044738419,0.004125851,-0.041885863,-0.015525384,-0.004834452,-0.054915501,0.059830311,,-0.028794443,-0.034670522,0.024368381,-0.011291988,-0.091854048,-0.028878542,-0.034826479,0.011404611,0.117210262,-0.04073558,-0.100832905,-0.071367321,0.03598061,0.114170854,0.02110161,-0.08144516,-0.115563102,-0.080446647
Q22,-0.1026243,0.11324101,0.004080129,-0.036788102,-0.067746568,0.06275879,0.022380194,-0.005352153,0.068130732,-0.070456879,-0.089146065,0.016625156,0.056166552,0.016241784,0.038823189,0.041572379,0.044626471,-0.050629743,0.016117383,-0.025643021,-0.029260033,-0.034608146,-0.000451527,0.010757976,-0.017105605,0.048146911,0.053105086,0.046493342,0.016619746,0.050496897,0.042800335,0.048851753,0.022709972,0.016569808,0.025430309,-0.050576497,-0.061197932,-0.025660195,-0.054986831,-0.043573271,0.012413974,0.081224338,0.06681894,0.020904599,0.020966976,0.01434176,0.032904832,-0.013887511,0.005040498,0.014304198,0.039678252,0.009326803,0.051674357,0.025754606,0.053239595,0.040506027,0.003634963,0.034688398,0.02665184,-0.028015104,-0.054196043,-0.048617531,-0.028015104,0.020238564,0.020607759,1,0.227162401,0.015832471,-0.035324201,-0.035584124,-0.106604287,-0.08739637,0.008626982,0.029866169,-0.044272238,0.083803662,,-0.041563925,0.099764424,0.001973524,0.034355905,-0.044931526,-0.038606559,0.010751747,-0.02194394,0.0519079,-0.019297084,-0.007120996,-0.027035531,-0.040251361,-0.112748195,-0.166191705,-0.088399007,-0.019019122,-0.087534225
Q25,-0.091128081,-0.039993719,0.018046247,-0.095670957,-0.054224535,0.233607635,0.189371935,0.024139441,0.191600241,-0.019176676,-0.050191369,0.168412535,0.168764021,0.132548313,0.137981525,-0.098598172,0.128459971,-0.128704947,-0.090773322,-0.003244281,-0.004716273,-0.025472426,-0.100301761,-0.026563956,0.014979084,-0.001380653,0.02163821,0.011803606,-0.007014075,-0.083985038,-0.008020891,0.024541014,0.039412237,-0.02796487,-0.027433449,-0.043587419,-0.054978905,-0.084776038,0.068592365,0.063440152,0.030963445,0.006540336,0.025265871,0.048849697,0.016393386,-0.023020504,-0.024585738,-0.026715732,-0.056500639,-0.023949049,-0.019553662,-0.04612225,0.089119852,0.243100008,-0.009645232,0.079195051,0.029137712,-0.009961841,0.017306827,0.024938706,-0.040037694,-0.016715025,0.024938706,0.046754886,-0.091255158,0.227162401,1,-0.166040822,-0.221325284,-0.152219688,-0.229767028,-0.186815195,-0.019630477,-0.158527265,-0.110115502,0.321423415,,0.010380081,0.025457621,0.041557494,-0.061914692,-0.117285692,0.064322019,0.04935702,0.053033903,0.19555025,-0.157971024,-0.13197789,-0.130299828,0.063642701,0.010399373,-0.089682224,-0.031705914,-0.082082219,-0.028554054
Q12e,-0.087433622,0.014364522,-0.055477277,-0.032731648,-0.071247278,-0.018373335,-0.021941177,0.032422356,0.064002081,0.007144436,0.077102137,0.001059979,0.036734893,0.043760155,0.088926653,-0.069477575,0.060531217,-0.078226252,0.016596663,-0.038120815,-0.035275913,0.023658117,-0.071175271,-0.069164002,-0.076773297,-0.087031708,-0.072708467,0.005019743,-0.022765652,-0.004551376,-0.008627037,0.148883883,1,0.074974172,0.145355526,0.154679081,0.06121694,0.082202656,-0.165687436,-0.038120815,-0.049571203,-0.024156843,-0.028797212,0.107851614,0.393771898,0.035958776,-0.026773637,-0.028435491,-0.021312852,0.014175426,0.024475607,-0.06784517,0.042691329,0.058568261,0.026007368,-0.020056457,-0.042265908,0.02279353,0.017033189,0.037322076,0.044483644,-0.035275913,0.037322076,-0.058201986,-0.011395155,0.022709972,0.039412237,-0.074226216,-0.055528939,-0.065756129,-0.013850378,-0.051525994,0.004326745,-0.050969822,0.003810073,0.073277318,,-0.043682112,-0.030852177,-0.003933855,-0.010279378,0.073306868,0.029174973,-0.080529007,-0.078663033,0.035795673,-0.023948217,-0.036993449,-0.011319243,0.004466886,-0.056019318,-0.062697566,0.020734288,0.035694987,0.010138147
Q26g,-0.074562184,-0.032751248,-0.030515308,-0.008496786,0.038058944,-0.051085008,-0.050401202,-0.067928332,-0.046279994,-0.007888869,0.08254761,-0.055332044,-0.058021508,-0.066460752,-0.022205611,4.55E-05,-0.00914433,0.038727999,0.076082983,0.073333313,-0.020188515,0.1209083,0.11471365,0.05453176,0.088503684,0.109603233,0.047586248,0.065018393,0.076950681,-0.086807614,-0.008578921,-0.081389578,-0.050969822,0.025994484,0.062405371,-0.003119035,0.01317389,-0.000705203,-0.021224188,-0.021816661,0.094536022,-0.049346983,0.027108937,-0.013343604,-0.018094077,0.0145876,0.073521401,0.002471397,-0.013980352,0.043784202,0.047714163,0.015057547,-0.004973537,-0.004834452,-0.044128641,0.023115978,-0.02376185,-0.023580221,0.040794165,-0.011633321,-0.018963604,-0.020188515,-0.011633321,-0.053363008,0.024583338,0.029866169,-0.158527265,0.09577415,0.174946656,0.164184243,0.147101352,0.070541086,0.094053343,1,0.274742767,-0.46760548,,-0.05437053,0.016324373,0.038769827,0.047700024,-0.037905735,0.008582971,0.081057885,0.03293516,-0.115111501,0.138332677,0.167665459,0.095944535,-0.055455923,-0.002931771,-0.013821925,-0.127350346,-0.028086077,-0.122881053
Q13d,-0.072964876,0.022800392,-0.029592536,-0.043714428,-0.06573651,0.045016844,0.042447963,0.024962034,0.071270714,-0.026348357,0.042147817,0.046903872,0.072264954,0.087897507,0.078176977,0.027843988,0.058329572,-0.042113716,-0.052789767,-0.014228993,-0.021973452,-0.033262104,-0.033970387,-0.00377534,-0.007035384,0.029754794,0.004383754,0.060460499,0.082075845,0.026411939,-0.020417825,0.420238489,0.107851614,0.03621611,-0.038540179,0.010319457,0.000644785,-0.059714016,-0.103207108,-0.023745548,0.141645926,0.106298233,0.0562842,1,0.232588042,0.060010135,0.029493676,0.108951841,0.058002511,-0.001224634,0.070343619,-0.019309575,-0.013649958,-0.016831877,0.102660653,-0.005188768,-0.017494477,0.040952548,-0.030023264,-0.030422694,-0.005438243,-0.021973452,-0.030422694,0.07409181,-0.021283274,0.020904599,0.048849697,-0.053480124,-0.022061426,-0.033785476,-0.058369085,-0.056939294,-0.020049214,-0.013343604,0.040984814,0.079613053,,-0.05917762,-0.000522557,-0.005712404,0.017018516,-0.023820517,0.069548466,-0.075580004,-0.010823325,0.03012809,-0.041206808,0.012341376,-0.017129621,0.051434986,-0.069435718,-0.073171501,0.058595003,0.154351698,0.050481565
Q31,-0.066066825,-0.139439645,0.011413839,-0.037581658,0.012001815,0.039411835,-0.012158368,0.040362572,0.013040521,-0.00796618,-0.073941112,0.052268247,0.041924472,0.028199207,-0.01901423,-0.031645756,-0.002466289,-0.069290986,-0.047862144,-0.023686097,-0.021918438,-0.023686097,-0.001719832,0.093240532,0.046550006,0.088730393,0.087588102,0.101131343,-0.13860646,-0.086490242,0.00648467,0.038443227,0.004466886,-0.048733459,-0.055071561,-0.057751315,-0.040800344,-0.042930186,0.14659431,0.038754967,-0.040084273,-0.026193394,0.028034389,0.051434986,0.016859649,-0.040850058,-0.024023775,-0.007680098,-0.001458678,-0.010212051,-0.050488434,-0.080677706,-0.045721222,0.03598061,0.034223673,-0.014879294,-0.0305495,0.009609941,-0.03024331,-0.012630163,0.021158649,0.011787249,-0.012630163,0.019923673,-0.111884638,-0.040251361,0.063642701,-0.032822018,-0.047128266,-0.020711885,-0.059546465,-0.050078216,-0.019999017,-0.055455923,0.009209703,0.055495343,,0.02526086,-0.014984207,-0.043970588,0.014694612,-0.055783439,-0.012563375,-0.031568485,-0.07680446,-0.006850164,0.001362123,-0.025991023,-0.027228168,1,0.183590511,0.176575867,0.041809693,0.024903889,0.042509841
Q13h,-0.052689723,0.026154815,0.023052822,0.001295706,-0.033478551,0.038159739,0.041242774,-0.003358242,0.027314636,0.021130649,-0.015509835,0.006184132,-0.002355178,0.01933697,0.008776052,-0.004166692,0.055367383,0.023689408,0.016962668,-0.008513969,-0.007878584,0.059119961,-0.015896409,-0.065652923,-0.05839337,-0.076498045,-0.070890772,-0.035149131,-0.041978252,0.01575666,-0.002001807,0.083425485,-0.028435491,-0.017517245,0.076620149,0.403089873,0.097394167,-0.094008645,-0.037004921,-0.008513969,0.03133912,0.072922205,0.066193405,0.108951841,0.095438277,-0.014683557,0.099242994,1,0.20199722,0.109103448,0.077460975,0.030007523,0.012083797,-0.011810677,0.086369876,0.015556972,-0.03497931,0.003550649,-0.008206716,-0.046615177,-0.050697591,-0.007878584,-0.046615177,0.02752721,0.032129635,-0.013887511,-0.026715732,0.009028987,0.042552645,0.065106662,0.038118161,0.018396467,-0.007188648,0.002471397,-0.028477843,-0.044775102,,0.006874245,-0.002863198,0.019091609,0.071763223,0.024377838,0.041383925,0.024373115,0.027869966,-0.003071113,0.0382505,0.049994798,0.013116569,-0.007680098,-0.018383524,-0.049402652,-0.009345317,0.003123691,-0.007732523
