,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q22,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea,Number of council services accessed,Information about public services,Publication Use,Usefulness of offline publication,Financial Worry
0,0.0,65.0,0.0,other,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Offline,2300.8,Concerned
1,0.0,26.0,0.0,other,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,None,2387.4,Not Concerned
2,0.0,53.0,0.0,other,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,None,2388.4,Concerned
3,0.0,44.0,0.0,other,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,None,2389.4,Not Concerned
4,0.0,45.0,0.0,other,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.6,None,2390.4,Not Concerned
5,0.0,50.0,1.0,other,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,6.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,None,2391.4,Concerned
6,0.0,22.0,0.0,other,2.0,0.0,4.0,3.0,0.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,2392.4,Not Concerned
7,0.0,28.0,0.0,other,1.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Online and Offline,2144.2,Not Concerned
8,0.0,41.0,1.0,other,2.0,0.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.4,Online and Offline,2392.6,Not Concerned
9,0.0,50.0,1.0,other,0.0,0.0,0.0,4.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.4,Online and Offline,2395.0,Not Concerned
10,0.0,25.0,0.0,other,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,Online and Offline,2396.0,Not Concerned
11,0.0,41.0,0.0,other,0.0,2.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,5.0,5.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,Online and Offline,2396.6,Not Concerned
12,0.0,20.0,1.0,other,2.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,0.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,2.0,0.0,3.0,None,2397.8,Not Concerned
13,0.0,24.0,0.0,other,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,Online,2398.8,Not Concerned
