,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q22,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea,Number of council services accessed,Information about public services,Publication Use,Usefulness of offline publication,Financial Worry
0,0.0,65.0,Female,"Unemployed, Not Registered-Seeking Work",White - British,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,1.0,3.0,Rents (With Or Without Housing Benefit),4,4.0,2.0,No,3,6,7,8,4,1.0,1.0,1.0,NHS,UK  ,9.0,SW1V1DU,Warwick,E00024058,0.0,2.0,Offline,1.0,Concerned
1,0.0,26.0,Female,Working - Full Time (30+ HRS),Mixed - White and Asian ,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,Rents (With Or Without Housing Benefit),3,4.0,0.0,No,3,11,10,11,5,1.0,1.0,2.0,NHS,UK  ,6.0,SW1V1DU,Warwick,E00024058,0.0,1.2,None,,Not Concerned
2,0.0,53.0,Female,other,Any - Other White background (type in),4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,Rents (With Or Without Housing Benefit),4,2.0,0.0,No,3,10,11,11,6,1.0,1.0,1.0,NHS,,8.0,SW1V1DU,Warwick,E00024058,0.0,2.0,None,,Concerned
3,0.0,44.0,Female,"Unemployed, Not Registered-Seeking Work",Mixed - White and Black - Caribbean,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,4.0,Rents (With Or Without Housing Benefit),2,2.0,1.0,Yes,3,10,10,9,10,1.0,1.0,1.0,NHS,,9.0,SW1V1DU,Warwick,E00024058,1.0,2.0,None,,Not Concerned
4,0.0,45.0,Female,"Unemployed, Not Registered-Seeking Work",(Refused),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Rents (With Or Without Housing Benefit),3,5.0,0.0,No,3,11,11,9,10,1.0,1.0,2.0,NHS,,7.0,SW1V1DU,Warwick,E00024058,0.0,2.8,None,,Not Concerned
5,0.0,50.0,Male,other,(Refused),2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,1.0,2.0,Rents (With Or Without Housing Benefit),4,1.0,0.0,No,3,7,8,7,4,3.0,1.0,2.0,NHS,,6.0,SW1V1DU,Warwick,E00024058,0.0,2.8,None,,Concerned
6,0.0,22.0,Female,Full-Time Student,Any - Other White background (type in),5.0,3.0,1.0,5.0,,3.0,,,,2.0,2.0,4.0,Rents (With Or Without Housing Benefit),6,4.0,0.0,No,3,11,9,10,3,2.0,2.0,1.0,NHS,UK  ,9.0,SW1V1DU,Warwick,E00024058,0.0,2.0,None,,Not Concerned
7,0.0,28.0,Female,Working - Full Time (30+ HRS),Mixed - White and Asian ,5.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,Rents (With Or Without Housing Benefit),3,2.0,0.0,No,3,11,11,10,11,1.0,1.0,1.0,NHS,UK  ,5.0,SW1V1DU,Warwick,E00024058,0.0,2.0,Online and Offline,2.0,Not Concerned
8,0.0,41.0,Male,Working - Full Time (30+ HRS),Any - Other White background (type in),5.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,1.0,4.0,Rents (With Or Without Housing Benefit),1,4.0,2.0,No,3,9,10,10,5,1.0,1.0,1.0,NHS,UK  ,6.0,W22BA,Hyde Park,E00023634,0.0,1.0,Online and Offline,1.0,Not Concerned
9,0.0,50.0,Male,Working - Full Time (30+ HRS),White - British,5.0,5.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,,Live Here Rent Free,2,1.0,0.0,No,3,9,9,9,6,3.0,1.0,1.0,NHS,UK  ,8.0,W22SB,Hyde Park,E00023631,0.0,2.2,Online and Offline,3.0,Not Concerned
